,Credits,Departments,Description,Number,Title,Unique_ID
6988,3 Credit Hours.,p_sc,"(Crosslisted withSOC 3123) Prerequisite:SOC 1113and any General Education Math EXCEPT Philosophy 1113 or Philosophy 3113. Descriptive and inferential statistics as they are used in sociology to analyze survey and macro-level data. Problems of research design and interpretation of analysis in sociological theory are major topics. A grade of C or better in this course is a prerequisite for Sociology capstone courses. (F, Sp, Su)",3123,Social Statistics,p_sc-3123
7013,3 Credit Hours.,p_sc,"Prerequisite: departmental permission andP SC 1113. Addresses practical aspects of campaign management including information about the decisions campaign managers make in gathering information, raising money, harnessing technology, honing and disseminating messages, and targeting volunteers/voters in the context of aiding a candidate in running for/winning office. Explores practical lessons on campaign management and provides hands-on training through the use of existing electoral databases and on-campus resources. (Irreg.)",3483,Campaign Management,p_sc-3483
7170,3 Credit Hours.,pbio,"(Crosslisted withMBIO 3673) Prerequisite:PBIO 1114, orMBIO 2815, orMBIO 3813, orBIOL 1005, orBIOL 1114, or equivalent introductory biology course, and junior standing, or instructor permission. Study of the use of computers to analyze and interpret various types of biological data. Topics covered will include accessing genomics databases, aligning DNA and protein sequences, searching genomic databases for similar sequences, analyzing protein structure, and building molecular phylogenies. Classes will emphasize group work and in-class computer exercises in a highly interactive environment. (Sp)",3673,Practical Bioinformatics,pbio-3673
7188,3 Credit Hours.,pbio,"(Slashlisted withPBIO 5733; Crosslisted withGIS 4733) Prerequisite: either a course or hands-on experience in remote sensing, GIS, statistical analysis, computer programming, or permission of the instructor and adviser. Course develops comprehensive knowledge and advanced skills of remote sensing, to apply to the study of the structure, composition, and functions of vegetation, landscapes, and the biosphere. Students will learn hyperspectral data acquisition and analysis; field survey methods; land cover classification from multiple sensors, time series data; and estimation of biophysical and biochemical parameters. Includes image processing software and algorithms. No student may earn credit for both 4733 and 5733. (Sp)",4733,Environmental Remote Sensing,pbio-4733
7208,3 Credit Hours.,pbio,"(Slashlisted withPBIO 4733; Crosslisted withGIS 5733) Prerequisite: either a course or hands-on experience in remote sensing, GIS, statistical analysis, computer programming, or permission of the instructor and adviser. Course develops comprehensive knowledge and advanced skills of remote sensing, to apply to the study of the structure, composition, and functions of vegetation, landscapes, and the biosphere. Students will learn hyperspectral data acquisition and analysis; field survey methods; land cover classification from multiple sensors, time series data; and estimation of biophysical and biochemical parameters. Includes image processing software and algorithms. No student may earn credit for both 4733 and 5733. (Sp)",5733,Environmental Remote Sensing,pbio-5733
7245,3 Credit Hours.,phch,"Prerequisite:ENGL 1213orEXPO 1213; corequisite:PHCH 2013. Introduction to the basic concepts, methods, and tools of public health data collection, use, and analysis. Specific topics may include biostatistical and epidemiological methods, informatics, and the use, management, and dissemination of big data. (Sp)",3313,Health Data and Statistics,phch-3313
7450,3 Credit Hours.,psy,"Prerequisite: 1113 and satisfactory score on the math placement test (equivalent to completion of Math 0123). An introduction to scientific method in psychological research. Topics include: philosophical issues; hypothesis formulation; experimental design; and data collection, organization and interpretation. Laboratory (F, Sp, Su)",2113,Research Methods I: Statistics,psy-2113
7452,3 Credit Hours.,psy,"Students will learn to identify the parts and functions of personal computers. Building on that basic knowledge, such topics as developing and publishing a web page, collecting data from participants through the web, and using the advanced features of Excel for statistical analysis will be covered. Programming languages will include HTML and JavaScript. (F, Sp, Su)",2503,Computing for Behavioral Sciences,psy-2503
7457,4 Credit Hours.,psy,"Prerequisite:PSY 1113;PSY 2003orPSY 2113. Examines how new discoveries are made in psychology through the scientific method. Primary goal is to prepare students to conduct an independent research project to address a theoretical question, analyze and interpret the data, and present the data to others in both written and oral form. Laboratory. (F, Sp, Su)",3114,Research Methods II: Applications and Experimental Design,psy-3114
7499,3 Credit Hours.,psy,"Prerequisite: 5703. Covers a variety of substantive topics including; the choice and design of personnel selection tools, validation of employment tests, legal issues regarding personnel assessment and selection, assessment of intelligence, experience, personality and integrity, the use of common assessment methods such as situational judgment tests, interviews, biodata, and assessment centers, frame-of-reference training, theoretical and empirical literature regarding assessment center technology, and development and administration of an assessment center. (Irreg.)",5723,Selection and Assessment in Organizations,psy-5723
7500,3 Credit Hours.,psy,"Prerequisite: 5703. Provides an overview of how to develop and apply several methodologies and techniques that I/O psychologists commonly use to address organizational needs. During this course we will explore topics such as basic consulting skills, job analysis, individual assessment and selection, biodata, performance appraisal, ad organizational surveys. Some basic familiarity with these areas is assumed. This class focuses on how to develop and implement these types of applications in organizational settings. (Irreg.)",5733,Techniques in Industrial and Organizational Psychology,psy-5733
7526,1-6 Credit Hours.,psy,"1 to 6 hours. Prerequisite: 5703 and permission of instructor. May be repeated; maximum credit twelve hours. Provide guided research experiences preparatory for master's and doctoral degrees. Topics selected in consultation with faculty member may include leadership, management ethics, and motivation. Exposure to key aspects of the research process including literature reviews, study design, data analysis, report preparation, proposal writing, paper presentation, and article writing. (F, Sp, Su)",6960,Research in Industrial and Organizational Psychology,psy-6960
7535,3 Credit Hours.,rcpl,"(Slashlisted withRCPL 5463) Prerequisite: junior standing. This introductory course is concerned with theories, models, and techniques for geographical information system (GIs) and its associated spatial data management, spatial analysis, and quantitative modeling within a GIs environment for effective socio-economic decision-making for problems in the field of regional and city planning. Introduces the regional and city planning applications of micro computer-based mapping and geographic information systems. No student may earn credit for both 4463 and 5463. (F)",4463,Geographic Information Systems for Land Use Planning,rcpl-4463
7551,3 Credit Hours.,rcpl,"(Slashlisted withRCPL 4463) Prerequisite: graduate standing or permission of instructor. This introductory course is concerned with theories, models, and techniques for geographical information system (GIs) and its associated spatial data management, spatial analysis, and quantitative modeling within a GIs environment for effective socio-economic decision-making for problems in the field of regional and city planning. Introduces the regional and city planning applications of micro computer-based mapping and geographic information systems. No student may earn credit for both 4463 and 5463. (F)",5463,Geographic Information Systems for Land Use Planning,rcpl-5463
7555,2 Credit Hours.,rcpl,"Prerequisite: Graduate standing. This is the second course in a two-course sequence that is intended to fulfill the 5-credit studio requirement in Masters of Planning curriculum and Studio V in the MLA curriculum. This second course focuses the data analysis and presentation of recommendations to a community. This will involve quantitative or qualitative analysis of gathered data, the development of recommendations and the preparation of professional deliverables to a client. Laboratory (F, Sp, Su)",5522,Comprehensive RCPL Project: Reporting and Implementation,rcpl-5522
7556,3 Credit Hours.,rcpl,"Prerequisite: Graduate standing. This is the first course in a two-course sequence that is intended to fulfill the 5-credit studio requirement in Masters of Planning curriculum and Studio V in the MLA curriculum. This first course focuses the data collection for community projects as well as community engagement aspects of professional planning practice. These elements are often the most time consuming elements of professional practice and usually precede actually ""plan making"". These will included engaging in quantitative or qualitative data collection as well as facilitating opportunities for citizen participation in planning for their communities. Laboratory (F, Sp, Su)",5523,Comprehensive RCPL Project: Research and Plan Making,rcpl-5523
7674,3 Credit Hours.,s_wk,"Prerequisite:DMAT 0123, MATH 0123, or satisfactory score on math placement exam. Introduction to statistics and data analysis in social work and the helping professions. Covers descriptive statistics (univariate and bivariate), inferential statistics (estimation and significance tests) and data interpretation (causality and generalizability). (F, Sp, Su) [I-M] .",2223,Statistics for Social Work,s_wk-2223
7688,3 Credit Hours.,s_wk,Prerequisite:S WK 4083. Introduction to applied data analysis methods appropriate to research in social work practice evaluation and human services program evaluation.  (Sp),4093,Undergraduate Social Work Research Methods II,s_wk-4093
7701,3 Credit Hours.,s_wk,Prerequisite: graduate standing in Social Work andS WK 5083. Introduction to applied data analysis methods appropriate to research in social work practice evaluation and human services program evaluation. (Sp),5093,Social Work Research Methods II,s_wk-5093
7788,3 Credit Hours.,soc,"(Crosslisted withP SC 3123) Prerequisite:SOC 1113and any General Education Math EXCEPT Philosophy 1113 or Philosophy 3113. Descriptive and inferential statistics as they are used in sociology to analyze survey and macro-level data. Problems of research design and interpretation of analysis in sociological theory are major topics. A grade of C or better in this course is a prerequisite for Sociology capstone courses. (F, Sp, Su)",3123,Social Statistics,soc-3123
7789,3 Credit Hours.,soc,"Prerequisite:SOC 1113and any General Education Math EXCEPT Philosophy 1113 or Philosophy 3113 or permission of instructor. Basic elements of the scientific method as applied to the study of human group life. Examines the problem of conceptualization, the formulation of hypotheses, designs of proof, the interdependence of theory and fact and the techniques and procedures for assembling and ordering of data. A grade of C or better in this course is a prerequisite for Sociology capstone courses. (F, Sp, Su)",3133,Methods of Social Research,soc-3133
7848,3 Credit Hours.,soc,"Prerequisite:SOC 5483or permission of instructor. The primary focus of this course will be on the application of categorical outcome regression models for social scientific research questions. The course will also provide a broad-based overview of some advanced statistical models commonly used in the social sciences including basic longitudinal/panel statistical models, hierarchical linear models, and a number of approaches to handling missing data in regression analysis. (Irreg.)",5683,"Categorical, Panel, and Advanced Statistical Analyses",soc-5683
7854,3 Credit Hours.,soc,"Prerequisite: graduate standing in Sociology or permission of instructor. Introduction to the four variables that comprise the subject matter of demography: fertility, mortality, migration, and age structure. Sources of demographic data for the study of these variables are examined and basic demographic statistics are covered. (Irreg.)",5823,Social Demography,soc-5823
7955,3 Credit Hours.,tcom,"Prerequisite: Electrical and Computer Engineering 3793. The ways and means by which voice, data and video traffic are moved long distances. Topics include data networks, telephone systems, video, and optical systems. (F)",5553,Telecommunications Technology,tcom-5553
